Denzel Washington,Remember the Titans
Denzel Washington,Man on Fire
Denzel Washington,The Preacher's Wife
Denzel Washington,The Siege
Denzel Washington,The Hurricane
Denzel Washington,Inside Man
Will Smith,Independence Day
Will Smith,Men in Black
Will Smith,The Pursuit of Happyness
Will Smith,Enemy of the State
Will Smith,Ali
Will Smith,Bad Boys
Will Smith,I Am Legend
Will Smith,"I, Robot"
Will Smith,Wild Wild West
Will Smith,Hancock
Jake Gyllenhaal,Brokeback Mountain
Jake Gyllenhaal,Jarhead
Jake Gyllenhaal,October Sky
Jake Gyllenhaal,Bubble Boy
Jake Gyllenhaal,Donnie Darko
Jake Gyllenhaal,The Good Girl
Jake Gyllenhaal,Brothers
Jake Gyllenhaal,Zodiac
Jake Gyllenhaal,Moonlight Mile
Jake Gyllenhaal,End of Watch
Edward Norton,American History X
Edward Norton,Primal Fear
Edward Norton,Rounders
Edward Norton,Leaves of Grass
Edward Norton,The Score
Edward Norton,The Illusionist
Edward Norton,Death to Smoochy
Edward Norton,The Incredible Hulk
Edward Norton,Stone
Edward Norton,25th Hour
Philip Seymour Hoffman,Capote
Philip Seymour Hoffman,Almost Famous
Philip Seymour Hoffman,The Master
Philip Seymour Hoffman,Flawless
Philip Seymour Hoffman,Moneyball
Philip Seymour Hoffman,Charlie Wilson's War
Philip Seymour Hoffman,Magnolia
Philip Seymour Hoffman,The Savages
Philip Seymour Hoffman,Patch Adams
Philip Seymour Hoffman,Love Liza
