Name,Image,Team,Year
Draymond Green,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-draymond-green2018-min--ml0c-oct.png,Warriors,2015
Justin Holiday,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Andre Iguodala,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-andre-iguodala2023-min--o8i4g26g.png,Warriors,2015
Ognjen Kuzmic,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
David Lee,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Shaun Livingston,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-shaun-livingston-min--ol6ftep-.png,Warriors,2015
James Michael McAdoo,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Brandon Rush,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Marreese Speights,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Klay Thompson,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-klay-thompson2022-min--nuqzza6n.png,Warriors,2015
Jared Cunningham,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Matthew Dellavedova,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Channing Frye,https://cdn.statmuse.com/img/nba/players/channing-frye-cleveland-cavaliers-min--l0ga4dn7.png,Cavs,2016
Joe Harris,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-joe-harris-min--pxlfmxhy.png,Cavs,2016
Kyrie Irving,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-kyrie-irving2022-min--zud6rykg.png,Cavs,2016
LeBron James,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-lebron-james2021-min---cdeggnq.png,Cavs,2016
Richard Jefferson,https://cdn.statmuse.com/img/nba/players/richard-jefferson-cleveland-cavaliers-min--4iynjxj6.png,Cavs,2016
Dahntay Jones,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
James Jones,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Sasha Kaun,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Kevin Love,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-kevin-love2023-copy-min--crrth7s2.png,Cavs,2016
Jordan McRae,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Timofey Mozgov,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
