Actor,Actor_link,Movies,Images
"Christian Bale","https://www.imdb.com/list/ls051980843//name/nm0000288?ref_=nmls_hd","1. American Psycho\n2. The Machinist\n3. 3:10 to Yuma\n4. Empire of the Sun\n5. The Prestige\n6. Newsies\n7. Rescue Dawn\n8. Terminator Salvation\n9. Harsh Times\n10. Equilibrium","https://m.media-amazon.com/images/M/MV5BMTkxMzk4MjQ4MF5BMl5BanBnXkFtZTcwMzExODQxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Paul Giamatti","https://www.imdb.com/list/ls051980843//name/nm0316079?ref_=nmls_hd","1. American Splendor\n2. Sideways\n3. Big Fat Liar\n4. Cold Souls\n5. Barney's Version\n6. Fred Claus\n7. Shoot 'Em Up\n8. John Adams\n9. Pretty Bird\n10. Lady in the Water","https://m.media-amazon.com/images/M/MV5BOTc0MDAzMTU4N15BMl5BanBnXkFtZTcwNzA0NzcwNA@@._V1_UY209_CR11,0,140,209_AL_.jpg"
"Michael Douglas","https://www.imdb.com/list/ls051980843//name/nm0000140?ref_=nmls_hd","1. Falling Down\n2. The War of the Roses\n3. Traffic\n4. Romancing the Stone\n5. Black Rain\n6. Fatal Attraction\n7. The China Syndrome\n8. Basic Instinct\n9. The American President\n10. King of California","https://m.media-amazon.com/images/M/MV5BMTQ3NzMzOTQ3MF5BMl5BanBnXkFtZTcwOTE0MzY1Mw@@._V1_UY209_CR9,0,140,209_AL_.jpg"
"Kurt Russell","https://www.imdb.com/list/ls051980843//name/nm0000621?ref_=nmls_hd","1. Elvis\n2. Tombstone\n3, 3000 Miles to Graceland\n4. Escape from New York\n5. Miracle\n6. Backdraft\n7. The Thing\n8. Soldier\n9. The Computer Wore Tennis Shoes\n10. Overboard","https://m.media-amazon.com/images/M/MV5BMTk3MjkxNzQwMV5BMl5BanBnXkFtZTYwNDk4ODM1._V1_UY209_CR0,0,140,209_AL_.jpg"
"Patrick Swayze","https://www.imdb.com/list/ls051980843//name/nm0000664?ref_=nmls_hd","1. Point Break\n2. Road House\n3. Youngblood\n4. Red Dawn\n5. Dirty Dancing\n6. The Outsiders\n7. Next of Kin\n8. Black Dog\n9. Ghost\n10. Father Hood","https://m.media-amazon.com/images/M/MV5BNDM2NjI0MjYyMV5BMl5BanBnXkFtZTYwMjY1ODMz._V1_UY209_CR3,0,140,209_AL_.jpg"
"Woody Harrelson","https://www.imdb.com/list/ls051980843//name/nm0000437?ref_=nmls_hd","1. Zombieland\n2. Natural Born Killers\n3. Kingpin\n4. The People vs. Larry Flynt\n5. White Men Can't Jump\n6. Money Train\n7. The Messenger\n8. EDtv\n9. The Cowboy Way\n10. Rampart","https://m.media-amazon.com/images/M/MV5BMTU3NDc2ODc4MF5BMl5BanBnXkFtZTcwODk2MzAyMg@@._V1_UY209_CR1,0,140,209_AL_.jpg"
"Kevin Costner","https://www.imdb.com/list/ls051980843//name/nm0000126?ref_=nmls_hd","1. Wyatt Earp\n2. Dances with Wolves\n3. Robin Hood: Prince of Thieves\n4. Mr. Brooks\n5. Field of Dreams\n6. Waterworld\n7. Hatfields & McCoys\n8. Bull Durham\n9. The Company Men\n10. A Perfect World","https://m.media-amazon.com/images/M/MV5BMTY1ODkwMTQxOF5BMl5BanBnXkFtZTcwNzkwNDcyMw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Sean Penn","https://www.imdb.com/list/ls051980843//name/nm0000576?ref_=nmls_hd","1. Fast Times at Ridgemont High\n2. Mystic River\n3. Casualties of War\n4. Milk\n5. Bad Boys\n6. At Close Range\n7. Sweet and Lowdown\n8. The Assassination of Richard Nixon\n9. Dead Man Walking\n10. 21 Grams","https://m.media-amazon.com/images/M/MV5BMTc1NjMzMjY3NF5BMl5BanBnXkFtZTcwMzkxNjQzMg@@._V1_UY209_CR1,0,140,209_AL_.jpg"
"Jeff Bridges","https://www.imdb.com/list/ls051980843//name/nm0000313?ref_=nmls_hd","1. Crazy Heart\n2. The Big Lebowski\n3. Thunderbolt and Lightfoot\n4. The Last Picture Show\n5. Blown Away\n6. Fearless\n7. Wild Bill\n8. White Squall\n9. True Grit\n10. Starman","https://m.media-amazon.com/images/M/MV5BNTU1NjM4MDYzMl5BMl5BanBnXkFtZTcwMjIwMjMyMw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
"Kevin Spacey","https://www.imdb.com/list/ls051980843//name/nm0000228?ref_=nmls_hd","1. L.A. Confidential\n2. The Negotiator\n3. American Beauty\n4. The Usual Suspects\n5. Casino Jack\n6. Shrink\n7. 21\n8. Moon\n9. Father of Invention\n10. The Big Kahuna","https://m.media-amazon.com/images/M/MV5BMTY1NzMyODc3Nl5BMl5BanBnXkFtZTgwNzE2MzA1NDM@._V1_UY209_CR58,0,140,209_AL_.jpg"
"Harrison Ford","https://www.imdb.com/list/ls051980843//name/nm0000148?ref_=nmls_hd","1. Indiana Jones Series\n2. Star Wars Series\n3. Blade Runner\n4. The Fugitive\n5. Patriot Games\n6. The Devil's Own\n7. Witness\n8. American Graffiti\n9. Clear and Present Danger\n10 .What Lies Beneath","https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Russell Crowe","https://www.imdb.com/list/ls051980843//name/nm0000128?ref_=nmls_hd","1. A Beautiful Mind\n2. Gladiator\n3. The Insider\n4. Master and Commander: The Far Side of the World\n5. American Gangster\n6. Cinderella Man\n7. Body of Lies\n8. L.A. Confidential\n9. State of Play\n10. Les Misérables","https://m.media-amazon.com/images/M/MV5BMTQyMTExNTMxOF5BMl5BanBnXkFtZTcwNDg1NzkzNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
